iter	MultiClass
0	1.192007645
1	1.046655231
2	0.9318709012
3	0.839955923
4	0.7624137125
5	0.6950041694
6	0.6399412763
7	0.5924323427
8	0.549977981
9	0.512071734
10	0.4785357005
11	0.450024156
12	0.4230068295
13	0.3983631073
14	0.3771156393
15	0.3585639274
16	0.3399736547
17	0.3258424693
18	0.3104423342
19	0.2978625474
20	0.2854065447
21	0.2745017408
22	0.2640835279
23	0.2550613184
24	0.2465552863
25	0.2385174816
26	0.2312796255
27	0.2245573122
28	0.2184780141
29	0.2128538411
30	0.2073612906
31	0.2022542337
32	0.198265541
33	0.1940403285
34	0.1903735765
35	0.1865909525
36	0.1833705948
37	0.1803841497
38	0.1776959238
39	0.1751111102
40	0.1726911235
41	0.1705605719
42	0.1682936314
43	0.1663865348
44	0.1647257131
45	0.163094991
46	0.1612333571
47	0.1596884272
48	0.1583365958
49	0.1568635842
50	0.1552680552
51	0.1541474023
52	0.1531980217
53	0.1522373222
54	0.1510770188
55	0.1501173702
56	0.1491823117
57	0.1482423607
58	0.1473180832
59	0.1462205868
60	0.1454117727
61	0.1444133768
62	0.1435649917
63	0.1426426258
64	0.1418395406
65	0.1408598306
66	0.1403597523
67	0.1397164496
68	0.1389713882
69	0.1384703909
70	0.1376279239
71	0.1370281644
72	0.1363844632
73	0.135705909
74	0.1348590122
75	0.1342812526
76	0.1338959284
77	0.1333419353
78	0.1327442264
79	0.1323090768
80	0.1318930636
81	0.1313725952
82	0.1309768838
83	0.1306466742
84	0.13023185
85	0.1298338153
86	0.1293258739
87	0.1289290326
88	0.1286818258
89	0.1282667316
90	0.1278692905
91	0.1275687384
92	0.127219191
93	0.1269543836
94	0.1267962026
95	0.126391724
96	0.126203215
97	0.1258831733
98	0.1255431314
99	0.1254158428
100	0.1249888603
101	0.1246567404
102	0.1242943831
103	0.123968735
104	0.1237004692
105	0.1234888373
106	0.1232068606
107	0.1229149897
108	0.1226023957
109	0.1222369699
110	0.122043692
111	0.1218648897
112	0.1214832715
113	0.1211544713
114	0.1208787043
115	0.1206145532
116	0.1203352346
117	0.1199949293
118	0.1198069201
119	0.1195100643
120	0.1192518374
121	0.1190630539
122	0.1188571862
123	0.1186893947
124	0.1182411186
125	0.1179651227
126	0.1178217266
127	0.1174369888
128	0.1173441391
129	0.1172239226
130	0.1169669918
131	0.1168425881
132	0.1165745941
133	0.1162264024
134	0.1159708247
135	0.1157951183
136	0.1156620929
137	0.1152974219
138	0.1151714898
139	0.115062868
140	0.114733835
141	0.1145379539
142	0.1141391037
143	0.11398742
144	0.1137847666
145	0.1136733719
146	0.1135920777
147	0.1134278346
148	0.1131380876
149	0.1128513933
150	0.1127812269
151	0.112451289
152	0.1121980806
153	0.1119463359
154	0.1117171311
155	0.1115177617
156	0.1111641388
157	0.1109394394
158	0.1107861749
159	0.1105872391
160	0.1104019922
161	0.1101069327
162	0.1099442062
163	0.1098161205
164	0.1095756668
165	0.1094263835
166	0.1092542289
167	0.108945884
168	0.1087815821
169	0.1085184751
170	0.108427325
171	0.1082540852
172	0.1081841489
173	0.1080568913
174	0.1078845542
175	0.1077171417
176	0.107579341
177	0.1074222945
178	0.1072110539
179	0.1070955704
180	0.1069509138
181	0.1068395019
182	0.1065541561
183	0.1063308959
184	0.1061883439
185	0.1059544956
186	0.1056237238
187	0.1053098022
188	0.1051157684
189	0.1049948692
190	0.104823686
191	0.1047360016
192	0.1045081106
193	0.1042617936
194	0.1041843296
195	0.1039835951
196	0.1039288661
197	0.1037437835
198	0.103520512
199	0.1032337452
200	0.1029385059
201	0.1026399368
202	0.1024644801
203	0.102344673
204	0.1020711944
205	0.1017714737
206	0.1015867578
207	0.1014219191
208	0.1013352636
209	0.1010758806
210	0.1009056897
211	0.1005795789
212	0.1003635897
213	0.1001903945
214	0.09995415489
215	0.09971830968
216	0.09950427453
217	0.09937496928
218	0.09934985621
219	0.09916216768
220	0.09904352201
221	0.09870986071
222	0.09860555494
223	0.09847339557
224	0.09825741856
225	0.09812808856
226	0.0979652406
227	0.09774538212
228	0.09767460042
229	0.09757718033
230	0.09741507191
231	0.09726031987
232	0.09694408668
233	0.09677808072
234	0.09658946432
235	0.09645080479
236	0.09624641264
237	0.09597738062
238	0.09588646156
239	0.09564951252
240	0.09552504054
241	0.09541900029
242	0.09531763907
243	0.09519437922
244	0.09505247351
245	0.09493621644
246	0.09483908735
247	0.0946085016
248	0.09440643674
249	0.09426349962
250	0.09411276526
251	0.09387772202
252	0.09379597726
253	0.093529047
254	0.09340126474
255	0.09331836598
256	0.09312610486
257	0.09300990415
258	0.09286199145
259	0.09278062473
260	0.09269880846
261	0.092630856
262	0.09243783195
263	0.09225437317
264	0.09215416184
265	0.09203828393
266	0.09187623074
267	0.09171230195
268	0.09162921556
269	0.09145622567
270	0.0912741293
271	0.09112101022
272	0.09102308131
273	0.09082453603
274	0.09066229966
275	0.09052450568
276	0.0903864053
277	0.09017960872
278	0.09002714354
279	0.08980701507
280	0.08967496149
