iter	Passed	Remaining
0	16	16060
1	26	12991
2	35	11847
3	45	11257
4	55	11035
5	64	10749
6	73	10403
7	83	10342
8	92	10135
9	100	9991
10	109	9869
11	118	9743
12	128	9731
13	136	9637
14	144	9516
15	153	9435
16	161	9365
17	170	9284
18	178	9235
19	187	9190
20	195	9135
21	204	9076
22	212	9044
23	221	8992
24	229	8935
25	237	8906
26	246	8878
27	254	8843
28	264	8843
29	273	8856
30	283	8846
31	291	8831
32	301	8824
33	311	8838
34	320	8825
35	328	8805
36	338	8797
37	346	8780
38	356	8779
39	365	8775
40	375	8775
41	384	8777
42	394	8774
43	403	8763
44	412	8761
45	421	8740
46	429	8713
47	437	8686
48	447	8678
49	456	8664
50	464	8635
51	473	8628
52	482	8621
53	490	8591
54	498	8573
55	507	8556
56	515	8530
57	523	8503
58	531	8482
59	540	8463
60	549	8461
61	559	8459
62	567	8439
63	577	8448
64	586	8435
65	594	8418
66	604	8411
67	612	8398
68	621	8391
69	630	8380
70	639	8364
71	649	8368
72	658	8357
73	668	8359
74	677	8353
75	685	8335
76	695	8335
77	703	8317
78	712	8307
79	721	8298
80	730	8287
81	738	8271
82	747	8253
83	755	8240
84	764	8227
85	772	8207
86	780	8190
87	788	8172
88	796	8153
89	804	8135
90	813	8125
91	821	8110
92	830	8100
93	838	8083
94	846	8067
95	855	8058
96	864	8047
97	873	8039
98	882	8029
99	890	8018
100	899	8007
101	908	7994
102	916	7984
103	925	7970
104	933	7960
105	942	7950
106	950	7936
107	959	7921
108	967	7911
109	976	7901
110	985	7889
111	993	7876
112	1002	7868
113	1010	7855
114	1019	7844
115	1027	7834
116	1036	7821
117	1044	7808
118	1054	7804
119	1062	7792
120	1071	7783
121	1080	7776
122	1089	7764
123	1098	7763
124	1108	7759
125	1117	7752
126	1127	7752
127	1136	7744
128	1146	7737
129	1155	7733
130	1164	7724
131	1173	7717
132	1182	7709
133	1191	7699
134	1201	7695
135	1210	7687
136	1218	7678
137	1227	7668
138	1236	7656
139	1244	7646
140	1253	7634
141	1261	7624
142	1270	7613
143	1279	7603
144	1287	7591
145	1296	7581
146	1304	7572
147	1313	7559
